from,to,x,y,z,qx,qy,qz,qw,translation_sigma,rotation_sigma,loop
83,84,0.65450140107533805,-0.0096357165192495486,0.37560557853540466,0.0011254286775752582,-0.00077731647128745612,-0.0079133094908787269,0.99996775384124104,0.058867042721193349,0.015321229299101879,0
84,85,0.67540468429983136,-0.066042392359874746,0.37638350862873793,0.040291454949029117,0.0050459353218659294,-0.068878662910303604,0.99679830807967706,0.059400348430029067,0.018201700474361177,0
85,86,0.65078339559047826,0.083327909451127447,0.37237452845352337,-0.021749233170130392,-0.0038339601746833129,0.042064083726145632,0.99887080469206324,0.058860099381875489,0.01690108001777996,0
86,87,0.66747770492144198,-0.012343869355520454,0.36946947798700602,0.011332002645255043,-0.00010503029710497515,-0.019645151265848228,0.99974278827927865,0.059075287560772391,0.015907255638133829,0
87,88,0.67251228407800134,0.016684553057443097,0.37104617383549865,-0.0095604985344300408,-0.0024416753809686775,0.012253101265272166,0.99987624064105551,0.059206548519718807,0.015629315594616184,0
88,89,0.66311133553112001,0.0338080626889532,0.35736870187272896,-0.021383098679356113,0.01429176408033655,0.012060610850838753,0.99959644368927481,0.058850928649055417,0.016136427323284162,0
89,90,0.65599926371674755,0.0012870143925702848,0.38988076033830588,0.0031047233287437494,-0.0096169626792515384,-0.0016565093810317669,0.99994756397450579,0.059077861805063109,0.015409630013575081,0
90,91,0.65991735785720707,0.015187851398740904,0.35761070707926912,-0.0044080393167747816,0.0019893973440421788,0.014396832389093081,0.99988466470125925,0.058768441062210693,0.015607519588747443,0
91,92,0.66880008436336524,-0.0077690923604372131,0.36225103987199425,-0.011349043549384088,0.0053474331259540661,0.0090069507032396138,0.99988073239187236,0.059016107112276076,0.015617789553804289,0
92,93,0.66277958647001611,-0.072353487655353987,0.38706128147397578,0.02455379901564048,-0.00084180925912732214,-0.02088341259677132,0.99948000749859123,0.059273171817216794,0.016290007842488786,0
93,94,0.51045863979963002,0.088511484176553523,0.29852778201155594,-0.081222683533880846,-0.0058490243469513127,0.14591375599242762,0.98594007952102558,0.054948267926627062,0.02171547263258921,0
94,95,-0.019632320077008103,0.097152973598596759,-0.038667265527760009,-0.090535280537440962,0.013294183170136583,0.16174242792695093,0.98258130181687309,0.042659803293249574,0.02247679137688274,0
95,96,0.033171325287883136,0.052447094446854692,0.043108846386004984,-0.065990989962614183,-0.0067489258218438597,0.1134347506512514,0.99132850185430155,0.04188901548001929,0.020271526439076832,0
96,97,0.56316087845784857,0.14215569414359308,0.29531962956171043,-0.075668187488349747,0.0047855034806126755,0.12988013594064876,0.98862661032702515,0.05628979933899065,0.021038546659090229,0
97,98,0.67380427920418029,0.10615977036209578,0.37342869613508967,-0.037133125162704166,0.0026171712834650229,0.06853105396220481,0.99695424973915092,0.059441114529109933,0.018122715544870594,0
98,99,0.66731732126842225,0.018277746995234878,0.36750664286829604,-0.0098352159817781531,0.0042706529282891814,0.017950881182343295,0.99978137405881662,0.05905104353855075,0.015836437986444782,0
99,100,0.32918516798720887,-0.12047661527424935,0.18591685189803808,0.081761816968378337,0.013536718878676666,-0.13647328725475816,0.9871711120134693,0.049919758233898125,0.021414087564271048,0
100,101,0.4301487316245538,-0.084841806067819547,0.28282175939812149,0.063353030225058407,-0.020385817135414121,-0.10889672643549576,0.99182272357143397,0.053043537934646771,0.020118889078335277,0
101,102,0.24668311038943713,-0.10690167213620327,0.13277545455803974,0.07939550994437021,0.00083584462153278366,-0.12541610674557543,0.98892186472603816,0.047496242633397148,0.02095950336059136,0
102,103,0.66720440005595094,-0.11962754490119032,0.39435605789845951,0.026389424624298233,0.000567598345501926,-0.053779352492081559,0.99820391571344236,0.059605311164234315,0.017397747074131654,0
103,104,0.16779745943540192,-0.076163385442336917,0.10664230961398857,0.056697959726011549,-0.0089207127788258414,-0.12725602313813997,0.99020789070855753,0.045322677361700779,0.020602322962134201,0
104,105,0.25760924692034948,0.053775837647952685,0.16586814053490606,-0.071466612988248204,0.008923827877866615,0.15573641263348684,0.98516955814927942,0.047776832776672162,0.021897476527983871,0
105,106,0.65942032765635616,0.05963595032536162,0.37447249486022471,0.034728455894123919,-0.00055307063081468284,-0.064808726154261448,0.99729306499060211,0.059016789695300609,0.01794382452805765,0
106,107,0.1761550775600611,-0.09345444367573208,0.12217698152134737,0.057649931444818475,0.0022913786269789013,-0.1133466232689436,0.99187891296363573,0.045846556636527577,0.020101247819846797,0
107,108,0.14856768384694874,0.0323326168769551,0.068768966759595429,-0.066016577766054838,-0.011517056121798392,0.12310608402283114,0.99012830529932305,0.044171849528906605,0.020625080783328059,0
108,109,0.67760642380389768,0.069661113566871435,0.36518425689852663,-0.01342116046775524,0.0088374297938888912,0.034712514348263404,0.99926813900672251,0.059322310256058497,0.016530438139398678,0
109,110,0.41222747531843851,-0.09706865255501107,0.23011653561118273,0.074540969027717008,0.0045819262976484355,-0.13766242226538056,0.98765971234218108,0.052049570393741015,0.021290501273768424,0
110,111,0.66608499826179113,-0.041072467551591885,0.37781499807140939,0.0081702652118760127,-0.0018459776126638627,-0.012608722526341168,0.99988542306069994,0.059171925197862338,0.015605518957182584,0
111,112,0.66738612901306027,-0.034414778446720362,0.38140145156170924,0.010957004119389139,-0.0046263301336524482,-0.0093633923382093736,0.99988542744363607,0.059236288776488843,0.015605507375327515,0
112,113,0.65651130586392981,-0.045037056887593963,0.36433086164445427,0.013800017510970144,-0.0037553430859911061,-0.018731471701247043,0.99972225587055386,0.05880446103931939,0.015942773758422353,0
113,114,0.42816955848032023,0.089111735964571892,0.24780330448539978,-0.081808746707902932,0.00017690445144242004,0.14643712251125132,0.98583135820358347,0.052566735604606507,0.021741448436129962,0
114,115,-0.022474592256934045,0.080881305738351728,-0.010987665807258296,-0.094301943785492462,0.0090586058635423652,0.18028520392313171,0.97904153655730131,0.042116545197212335,0.023203820556577163,0
115,116,-0.012177075164238715,0.095395415508816583,-0.028395694985832165,-0.083107436094412665,-0.0052765136275838391,0.14475440030445785,0.98595713703094001,0.042506850857323752,0.021711388197767176,0
